num,velocity,waist,knee,right_angle,left_angle,time,peak_time,rest,fatigue,rest_time,rectus_femoris,vastus_lateralis,vastus_medialis,biceps_femoris,lac,RM
1,0.0091,-108.19,11.773,,,,1.45,,,1.795,,,,,3.2,0.8
2,0.3195,-82.736,7.329,,,,1.57,,,2.286,,,,,4.4,0.8
3,-0.0244,79.747,-5.232,,,,1.43,,,2.297,,,,,5.5,0.8
4,0.2054,-113.017,-31.136,,,,1.67,,,0.663,,,,,6.9,0.8
5,0.4685,-210.395,-52.017,,,,1.57,,,0.614,,,,,9.8,0.8
6,-0.3629,-205.095,40.295,,,,1.75,,,0.658,,,,,10.5,0.8
7,-0.2498,-46.746,-7.592,,,,1.18,,,1.086,,,,,8.7,0.8
8,-0.5233,-136.699,-54.081,,,,1.25,,,1.344,,,,,11.1,0.8
9,-0.4788,-100.669,-62.8,,,,1.25,,,1.567,,,,,14.9,0.8
10,0.1236,-25.396,-2.016,,,,1.21,,,0.614,,,,,4.1,0.8
11,-0.271,-0.498,27.508,,,,1.37,,,0.621,,,,,6.1,0.8
12,0.1182,56.864,4.464,,,,1.45,,,0.556,,,,,5.2,0.8
13,-0.193,233.76,35.101,,,,1.34,,,0.997,,,,,7.7,0.8
14,0.0419,168.555,-2.575,,,,1.51,,,0.853,,,,,7.1,0.8
15,-0.1617,147.589,-52.964,,,,1.26,,,0.788,,,,,6.2,0.8
16,-0.2884,-134.206,-17.821,,,,1.62,,,1.488,,,,,2.2,0.8
17,-0.2512,5.103,26.649,,,,1.97,,,1.325,,,,,3.5,0.8
18,-0.3646,359.834,49.124,,,,1.35,,,1.277,,,,,3.4,0.8
19,-1.4622,-44.961,-16.998,,,,1.37,,,1.217,,,,,3.6,0.8
20,-0.7225,-188.252,-46.614,,,,1.28,,,1.095,,,,,5.6,0.8
21,-1.1581,-80.205,-51.795,,,,1.08,,,1.732,,,,,6.5,0.8
22,-0.295,12.018,-82.723,,,,1.48,,,1.807,,,,,8.4,0.8
23,-0.5764,74.084,-44.273,,,,1.23,,,2.24,,,,,12.6,0.8
24,0.8997,62.436,-46.489,,,,2.16,,,3.067,,,,,11.7,0.8
