num,velocity,waist,knee,right_angle,left_angle,time,peak_time,rest,fatigue,rest_time,rectus_femoris,vastus_lateralis,vastus_medialis,biceps_femoris,lac,RM
1,-1.1602,-118.684,53.052,,,,1.24,,,1.529,,,,,1.3,0.8
2,-0.4218,60.274,47.793,,,,1.09,,,1.317,,,,,1.5,0.8
3,-1.2706,58.199,53.451,,,,1.31,,,1.328,,,,,2,0.8
4,0.2143,-18.762,-7.815,,,,1.74,,,1.069,,,,,3.2,0.8
5,-0.0532,-77.662,-29.574,,,,1.59,,,1.03,,,,,4.7,0.8
6,0.3417,-50.301,-12.186,,,,1.73,,,0.942,,,,,3.7,0.8
7,-0.4737,20.348,9.454,,,,1.23,,,1.333,,,,,5.7,0.8
8,-0.3172,35.729,16.173,,,,1.08,,,1.417,,,,,7,0.8
9,-0.6631,-43.637,-34.351,,,,1.23,,,1.206,,,,,9.5,0.8
10,-0.74,39.789,18.795,,,,1.16,,,0.627,,,,,3.5,0.8
11,-0.5614,-5.329,-7.401,,,,1.5,,,0.479,,,,,3.4,0.8
12,-0.6175,-5.234,-1.062,,,,1.46,,,0.633,,,,,5.4,0.8
13,-0.2721,-342.695,-17.303,,,,1.2,,,1.6,,,,,2.6,0.8
14,-0.3524,-437.157,-133.359,,,,1.24,,,1.42,,,,,3.9,0.8
15,0.6408,-65.829,112.044,,,,1.28,,,1.513,,,,,4.2,0.8
16,0.4974,-29.685,11.487,,,,1.16,,,1.817,,,,,0.6,0.8
17,0.0454,113.541,13.834,,,,1.1,,,1.583,,,,,0.6,0.8
18,0.471,72.295,37.152,,,,1.01,,,1.267,,,,,0.5,0.8
19,0.4939,1.248,-4.208,,,,1.21,,,1.204,,,,,1.8,0.8
20,0.483,-310.928,-22.015,,,,1.44,,,1.279,,,,,1.8,0.8
21,0.1814,-379.812,-79.002,,,,1.2,,,1.438,,,,,2.1,0.8
22,-0.5345,-61.091,-39.666,,,,1.26,,,2.146,,,,,2.9,0.8
23,0.039,20.703,-24.265,,,,1.12,,,2.3,,,,,4.2,0.8
24,-0.2406,129.198,-29.135,,,,1.18,,,2.275,,,,,5.7,0.8
