,1st_set
0,0.3653157949447632
1,0.3197600245475769
2,0.399287611246109
3,0.616683840751648
4,0.28909316658973694
5,0.24444270133972168
6,0.13899779319763184
7,0.23992066085338593
8,0.2043774425983429
9,0.17502768337726593
10,0.1170634776353836
11,0.2500097155570984
12,0.39060428738594055
13,0.1892727017402649
14,0.1765965223312378
15,0.3671838343143463
16,0.2805204689502716
17,0.22994907200336456
18,0.3247591257095337
19,0.1848386973142624
20,0.16580255329608917
21,0.31239378452301025
22,0.7374505996704102
23,0.3776090741157532
24,0.3075188398361206
25,0.1273285150527954
26,0.23434464633464813
27,0.11164214462041855
28,0.2675364017486572
29,0.21045704185962677
