,1st_set
0,0.26195257902145386
1,0.9151799082756042
2,0.499509334564209
3,0.30578121542930603
4,0.2938931882381439
5,0.27075645327568054
6,0.2104802280664444
7,0.3955090045928955
8,0.3457399606704712
9,0.1891317218542099
10,0.1956714391708374
11,0.5081031918525696
12,0.43181613087654114
13,0.2033977508544922
14,0.3775955140590668
15,0.36084482073783875
16,0.4128904938697815
17,0.31190451979637146
18,0.24874001741409302
19,0.2664068639278412
20,0.13984352350234985
21,0.14015081524848938
22,1.0083448886871338
23,0.2606199383735657
24,0.33135518431663513
25,0.10303047299385071
26,0.10815080255270004
27,0.17862634360790253
28,0.12112072855234146
29,0.1365501433610916
30,0.1992000937461853
31,0.13849316537380219
32,0.04984302073717117
33,0.13323786854743958
34,0.10879214107990265
35,0.08168786764144897
36,0.1898510605096817
37,0.07677921652793884
38,0.3362604081630707
39,0.3616398274898529
40,0.3697233498096466
41,0.32007545232772827
42,0.1629653424024582
43,0.29373544454574585
44,0.1783178150653839
45,0.39309531450271606
46,0.35680094361305237
47,0.258229523897171
48,0.2768409550189972
49,0.7066363096237183
50,0.5647901892662048
51,0.3623344898223877
52,0.11696350574493408
53,0.33124876022338867
54,0.18699970841407776
55,0.4141606390476227
56,0.6255158185958862
57,0.1927897036075592
58,0.23320534825325012
59,0.3697447180747986
60,0.1605963408946991
61,0.209579199552536
62,0.16987161338329315
63,0.3809663951396942
64,0.15716660022735596
65,0.25241559743881226
