,1st_set
0,0.4499496817588806
1,0.12244600802659988
2,0.08018471300601959
3,0.1481637805700302
4,0.9344774484634399
5,0.6051976084709167
6,1.0449844598770142
7,0.7302556037902832
8,0.6899242997169495
9,0.1823335438966751
10,0.3256354331970215
11,0.7243070006370544
12,0.0671752542257309
13,0.13767223060131073
14,0.7085374593734741
15,0.1391824334859848
16,0.31931161880493164
17,0.310853511095047
18,0.234574556350708
19,0.43495380878448486
20,0.10876913368701935
21,0.15084311366081238
22,0.053167037665843964
23,0.8464217185974121
