,1st_set
0,0.33419162034988403
1,0.5711803436279297
2,0.4637187123298645
3,0.5600360631942749
4,0.27703747153282166
5,0.12009520083665848
6,0.17949996888637543
7,0.2646571099758148
8,0.18410277366638184
9,0.23858031630516052
10,0.10232048481702805
11,0.38433369994163513
12,0.3831114172935486
13,0.12082597613334656
14,0.19599366188049316
15,0.39127257466316223
16,0.405514121055603
17,0.23111717402935028
18,0.30697739124298096
19,0.16121725738048553
20,0.13570831716060638
21,0.14126765727996826
22,0.77325838804245
23,0.3940729796886444
24,0.34305596351623535
25,0.13474611937999725
26,0.171261727809906
27,0.12528836727142334
28,0.22965183854103088
29,0.179952010512352
