,1st_set
0,0.3317307692307692
1,0.6682692307692307
2,1.0
3,0.1346153846153846
4,0.32211538461538464
5,0.5048076923076923
6,0.125
7,0.23076923076923075
8,0.3557692307692308
9,0.2932692307692307
10,0.40865384615384615
11,0.5288461538461539
12,0.16346153846153846
13,0.40865384615384615
14,0.43749999999999994
15,0.22596153846153846
16,0.20673076923076922
17,0.40865384615384615
18,0.125
19,0.28365384615384615
20,0.38942307692307687
21,0.16826923076923075
22,0.3413461538461538
23,0.5144230769230769
24,0.11057692307692306
25,0.16826923076923075
26,0.25
27,0.04326923076923077
28,0.09134615384615384
29,0.1346153846153846
