,1st_set
0,0.13043478260869565
1,0.30434782608695654
2,0.4239130434782609
3,0.4565217391304348
4,0.6086956521739131
5,1.0
6,0.3695652173913044
7,0.7065217391304348
8,0.9347826086956522
9,0.09782608695652174
10,0.14130434782608697
11,0.16304347826086957
12,0.3695652173913044
13,0.5543478260869565
14,0.4347826086956522
15,0.02173913043478261
16,0.02173913043478261
17,0.010869565217391306
18,0.06521739130434782
19,0.11956521739130437
20,0.1739130434782609
21,0.5760869565217391
22,0.782608695652174
23,0.7065217391304348
