,1st_set
0,0.6057246327400208
1,0.2623049318790436
2,0.31882792711257935
3,0.33315449953079224
4,0.34243765473365784
5,0.38619861006736755
6,0.19264112412929535
7,0.2663797438144684
8,0.1702137142419815
9,0.35699695348739624
10,0.10043029487133026
11,0.1495765894651413
12,0.3486980199813843
13,0.2736954092979431
14,0.17090341448783875
15,0.7273328900337219
16,0.29397401213645935
17,0.26491567492485046
18,0.08423478901386261
19,0.39242979884147644
20,0.315524697303772
21,0.3415346145629883
22,1.14810311794281
23,0.3794502317905426
24,0.21694879233837128
25,0.1800570785999298
26,0.15984827280044556
27,0.09954308718442917
28,0.1748502254486084
29,0.5588700175285339
