,1st_set
0,0.279896080493927
1,0.4527434706687927
2,0.32382121682167053
3,0.5163528323173523
4,0.26651936769485474
5,0.3191993534564972
6,0.1509067714214325
7,0.22466664016246796
8,0.26973432302474976
9,0.2543815076351166
10,0.13022886216640472
11,0.34863343834877014
12,0.3660849332809448
13,0.14611439406871796
14,0.18116796016693115
15,0.34654077887535095
16,0.2568337917327881
17,0.20495125651359558
18,0.2987636923789978
19,0.08850996941328049
20,0.15598751604557037
21,0.13705550134181976
22,0.7033449411392212
23,0.3749940097332001
24,0.3167991042137146
25,0.14259913563728333
26,0.2676500082015991
27,0.1434677243232727
28,0.2474798560142517
29,0.23582656681537628
