id,filename,subject_id,lengthfile
0,20230904_sekiguchi-RIR3-nonmax-set1,17,20230904_sekiguchi-RIR3-nonmax-set1_length.csv
1,20230904_sekiguchi-RIR3-nonmax-set2,17,20230904_sekiguchi-RIR3-nonmax-set2_length.csv
2,20230904_sekiguchi-RIR3-nonmax-set3,17,20230904_sekiguchi-RIR3-nonmax-set3_length.csv
3,20230905_deguchi-RIR3-max-set1,15,20230905_deguchi-RIR3-max-set1_length.csv
4,20230905_deguchi-RIR3-max-set2,15,20230905_deguchi-RIR3-max-set2_length.csv
5,20230905_deguchi-RIR3-max-set3,15,20230905_deguchi-RIR3-max-set3_length.csv
6,20230905_ebihara-RIR3-nonmax-1set,14,20230905_ebihara-RIR3-nonmax-1set_length.csv
7,20230905_ebihara-RIR3-nonmax-2set,14,20230905_ebihara-RIR3-nonmax-2set_length.csv
8,20230905_ebihara-RIR3-nonmax-3set,14,20230905_ebihara-RIR3-nonmax-3set_length.csv
9,20230906_sora-falure-set1,16,20230906_sora-falure-set1_length.csv
10,20230906_sora-falure-set2,16,20230906_sora-falure-set2_length.csv
11,20230906_sora-falure-set3,16,20230906_sora-falure-set3_length.csv
12,20230911_sekiguchi-RIR3-max-set1,17,20230911_sekiguchi-RIR3-max-set1_length.csv
13,20230911_sekiguchi-RIR3-max-set2,17,20230911_sekiguchi-RIR3-max-set2_length.csv
14,20230911_sekiguchi-RIR3-max-set3,17,20230911_sekiguchi-RIR3-max-set3_length.csv
15,20230911_sora-RIR3-nonmax-set1,16,20230911_sora-RIR3-nonmax-set1_length.csv
16,20230911_sora-RIR3-nonmax-set2,16,20230911_sora-RIR3-nonmax-set2_length.csv
17,20230911_sora-RIR3-nonmax-set3,16,20230911_sora-RIR3-nonmax-set3_length.csv
18,20230912_deguchi-RIR3-nonmax-set1,15,20230912_deguchi-RIR3-nonmax-set1_length.csv
19,20230912_deguchi-RIR3-nonmax-set2,15,20230912_deguchi-RIR3-nonmax-set2_length.csv
20,20230912_deguchi-RIR3-nonmax-set3,15,20230912_deguchi-RIR3-nonmax-set3_length.csv
21,20230912_ebihara-failure-set3,14,20230912_ebihara-failure-set3_length.csv
22,20230919_deguchi-failure-set1,15,20230919_deguchi-failure-set1_length.csv
23,20230919_deguchi-failure-set2,15,20230919_deguchi-failure-set2_length.csv
24,20230919_deguchi-failure-set3,15,20230919_deguchi-failure-set3_length.csv
25,20230919_ebihara-RIR3-max-set1,14,20230919_ebihara-RIR3-max-set1_length.csv
26,20230919_ebihara-RIR3-max-set2,14,20230919_ebihara-RIR3-max-set2_length.csv
27,20230919_ebihara-RIR3-max-set3,14,20230919_ebihara-RIR3-max-set3_length.csv
28,20230919_sekigchi_failure_set1,17,20230919_sekigchi_failure_set1_length.csv
29,20230919_sekiguchi-failure-set2,17,20230919_sekiguchi-failure-set2_length.csv
30,20230919_sekiguchi-failure-set3,17,20230919_sekiguchi-failure-set3_length.csv
31,20230920_sora-RIR3-max-set1,16,20230920_sora-RIR3-max-set1_length.csv
32,20230920_sora-RIR3-max-set2,16,20230920_sora-RIR3-max-set2_length.csv
33,20230920_sora-RIR3-max-set3,16,20230920_sora-RIR3-max-set3_length.csv
34,20231017_kitahara-failure-set1,20,20231017_kitahara-failure-set1_length.csv
35,20231017_kitahara-failure-set2,20,20231017_kitahara-failure-set2_length.csv
36,20231017_kitahara-failure-set3,20,20231017_kitahara-failure-set3_length.csv
37,20231017_yuya-RIR3-nonmax-set1,19,20231017_yuya-RIR3-nonmax-set1_length.csv
38,20231017_yuya-RIR3-nonmax-set2,19,20231017_yuya-RIR3-nonmax-set2_length.csv
39,20231024_kitahara_RIR3max_set1,20,20231024_kitahara_RIR3max_set1_length.csv
40,20231024_kitahara_RIR3max_set2,20,20231024_kitahara_RIR3max_set2_length.csv
41,20231024_kitahara_RIR3max_set3,20,20231024_kitahara_RIR3max_set3_length.csv
42,20231024_moricyan_RIR3_max_set1,23,20231024_moricyan_RIR3_max_set1_length.csv
43,20231024_moricyan_RIR3_max_set2,23,20231024_moricyan_RIR3_max_set2_length.csv
44,20231024_moricyan_RIR3_max_set3,23,20231024_moricyan_RIR3_max_set3_length.csv
45,20231024_tanigawa failure set1,21,20231024_tanigawa failure set1_length.csv
46,20231024_tanigawa failure set2,21,20231024_tanigawa failure set2_length.csv
47,20231024_tanigawa failure set3,21,20231024_tanigawa failure set3_length.csv
48,20231024_yuya_RIR3max_set1,19,20231024_yuya_RIR3max_set1_length.csv
49,20231024_yuya_RIR3max_set2,19,20231024_yuya_RIR3max_set2_length.csv
